userId,bookId,reading_date
0,11685242-i-heart-vegas,2017-08-08
0,521212.Shock_Treatment,2015-11-24
0,34521.Only_You_Can_Save_Mankind,2021-10-19
0,136081.Dearly_Devoted_Dexter,2019-12-31
0,248622.The_Somebodies,2021-12-12
0,43944.Suite_Fran_aise,2020-06-04
0,24378015-never-never,2015-01-26
0,71864.The_Dead_of_Night,2022-08-05
0,854727.Keep_the_Lights_Burning_Abbie,2019-09-18
0,29015.Cruddy,2014-11-23
0,14865.Vanishing_Acts,2024-07-11
0,13579.Tsubasa,2019-07-28
0,191881.The_Riddle_of_the_Third_Mile,2024-08-08
0,52339313-cemetery-boys,2017-11-22
0,47881.Charlie_Bone_and_the_Hidden_King,2014-12-15
0,88387.The_Assault,2024-08-02
0,15962.Because_It_Is_Bitter_and_Because_It_Is_My_Heart,2023-02-17
0,7841670-cryoburn,2021-08-22
0,6682769-guardian-of-the-gate,2022-01-11
0,2643052-peter-pan-in-kensington-gardens,2022-07-01
0,10461.Desolation_Angels,2019-05-21
0,13980.Sanctuary,2022-02-08
0,303455.Among_the_Free,2020-11-06
0,6783129-the-cardturner,2021-01-27
0,7823592-reckless,2017-10-25
0,18079675-storm,2024-01-23
0,16060716-lair-of-dreams,2016-12-07
0,13572289-the-way-of-men,2020-12-08
0,231604.D_j_Dead,2022-06-29
0,16046.Before_You_Know_Kindness,2021-04-04
0,486324.Joshua,2020-12-05
0,25661187-epitaph,2023-12-15
0,30346601-brainwalker,2015-03-12
0,3196717-thunder-and-ashes,2020-04-23
0,6596080-taming-kate,2022-09-14
0,782982.The_Lonely_Passion_of_Judith_Hearne,2019-12-11
0,95242.Elephant_Song,2021-07-14
0,65151.Anastasia_Again_,2018-06-03
0,38451700-dyed-souls,2023-04-04
0,25637.Celebration,2017-08-09
0,22028061-the-robber-knight,2019-04-09
0,30145666-the-dark-prophecy,2017-12-06
0,25688314-rocky-finds-a-family,2019-07-11
0,13580.Tsubasa,2023-02-23
0,20448515-bared-to-you,2019-06-03
0,10757833-beautiful-chaos,2018-03-02
0,25027372-cloud-and-wallfish,2019-03-08
0,113934.The_Goal,2015-08-11
0,882607.Doctor_Who,2024-02-29
0,426912.Feather_Boy,2022-03-16
0,182170.An_Ocean_Apart,2021-01-27
0,17289947-the-witch-hunter,2024-09-21
0,244254.A_Book_of_Memories,2016-06-06
0,217008.Yellow_Star,2021-06-27
0,9690646-the-broken-council,2015-08-14
0,125553.Welcome_to_Dead_House,2016-03-17
0,15808242-city-of-dark-magic,2020-10-11
0,28691932-the-forgetting,2015-10-29
0,25614298-in-other-words,2022-11-04
0,478146.The_Prize,2018-11-25
0,15829686-tandem,2019-05-13
0,42155.Something_Blue,2021-12-31
0,1127996.Betty_Crocker_s_Cookbook,2015-01-21
0,23381007-bitter-of-tongue,2019-07-02
0,1414244.The_Owl_Who_Was_Afraid_of_the_Dark,2022-11-08
0,22874559-half-girlfriend,2018-07-12
0,10586317-envy,2018-02-22
0,38743586-max-einstein,2015-12-01
0,18329942-chaysing-dreams,2019-12-10
0,5409442-a-map-of-the-known-world,2017-05-06
0,323170.The_Hustler,2018-06-21
0,7531.The_Idiot_Girls_Action_Adventure_Club,2024-02-04
0,12007.Use_of_Weapons,2017-03-18
0,9213328-the-dead-of-night,2024-06-20
0,7805.Pale_Fire,2015-01-12
0,62212.In_the_Company_of_the_Courtesan,2017-12-28
0,13549677-darkness-breaks,2017-03-19
0,36321744-little-white-lies,2021-12-21
0,9475932-fly-trap,2022-12-25
0,11312.Over_Sea_Under_Stone,2015-06-09
0,13605723-sentinel,2018-04-16
0,4601396-pygmy,2017-01-26
0,40894779-reviews-by-cat-ellington,2018-06-05
0,12787.Falling_Angel,2018-12-04
0,497250.Absolute_Boyfriend_Vol_2,2019-02-03
0,7023.The_Burning,2024-05-02
0,111646.Reindeer_Moon,2019-06-15
0,7996.Redwall,2017-12-26
0,921533.The_Ruby_Princess_Runs_Away,2022-07-23
0,569564.The_Complete_Works,2022-11-25
0,5776788-sandman-slim,2015-10-25
0,11691.Snow,2016-07-13
0,41840754-yuri-is-my-job-1,2017-11-06
0,20983026-destroy-me,2015-07-24
0,61182.The_Hacker_Crackdown,2018-08-05
0,162089.Flawless,2023-11-12
0,5041503-kaspar-prince-of-cats,2020-01-28
0,6547563-fading-echoes,2017-02-19
0,17130362-battle-of-will,2017-06-05
0,12840440-how-to-drive-a-dragon-crazy,2018-04-14
0,138683.Dark_Fire,2023-03-23
0,1938528.Stop_the_Train_,2017-07-13
0,27161189-united-as-one,2023-01-19
0,6757893-the-inside-story,2023-11-23
0,24814.It_s_a_Magical_World,2017-11-05
0,18114581-fire-and-ice,2016-02-13
0,18218495-code-name,2019-06-16
0,5948529-moe-kare-vol-02,2015-09-15
0,93374.Akira_Vol_4,2024-03-01
0,11301765-immortal-embrace,2017-03-03
0,253.The_Air_Conditioned_Nightmare,2021-02-15
0,16279856-the-eye-of-minds,2020-07-20
0,17739489-the-rockin-chair,2021-10-09
0,411761.The_Book_of_Daniel,2016-07-09
0,48465.3_by_Flannery_O_Connor,2020-12-09
0,7695.Holy_the_Firm,2017-10-20
0,25639296-the-darkest-corners,2021-06-12
0,595415.The_Ice_Queen,2023-08-20
